"levelSim","level","slopeMeanCurve","slopeMeanCurveOrig","meanSlopeCurves","sObs","shannon","simpson"
"10","San Andrés y Providencia","0.0501795707127338","0.0982192143938539","0.067613734015868","53","-3.21769330689878","0.0615530802037774"
"10","La Guajira","0.02502996109885","0.0474567212861988","0.030822201699898","761","-5.41177116668269","0.00707719384241915"
"10","Magdalena","0.0614356305799299","0.100397249881729","0.0720360752253327","1519","-5.61611870403119","0.0122584810629697"
"10","Atlántico","0.0670150518748867","0.126725630366381","0.0865962081917002","382","-5.34263472411453","0.00654022021078144"
"10","Bolívar","0.190988310216937","0.269806416969945","0.216178531134699","694","-5.43557877789829","0.0220619170796114"
"10","Cesar","0.180852450060687","0.276412197905587","0.215101885247907","542","-5.67331379258475","0.00883127696529042"
"10","Córdoba","0.035385619784794","0.0622757418902209","0.0424289043655116","821","-5.56156319452327","0.00569944644131796"
"10","Sucre","0.116256075753221","0.170781709223559","0.132701133138165","430","-4.47881650131887","0.0526440714564526"
"10","Chocó","0.176751712011353","0.281226966671802","0.218420475070832","2374","-7.32538588658368","0.00101866365485548"
"10","Antioquia","0.0492963711324977","0.090627885720404","0.0613067357320046","8105","-7.69929024620069","0.00135068115184497"
"10","Norte de Santander","0.183684775285899","0.280116944685914","0.220600479849798","1038","-6.33871726172084","0.0038871594039412"
"10","Santander","0.152082404558015","0.241903376663919","0.186357719011286","3085","-7.30443694263481","0.00191754821561459"
"10","Boyacá","0.0975587611542017","0.169873471682107","0.122166381819939","2587","-7.12405483368593","0.00161821290847406"
"10","Arauca","0.100348535093233","0.161639365948492","0.118751324416398","628","-5.66752675598885","0.00499555570733786"
"10","Casanare","0.141346894269923","0.21070499748843","0.162107431536048","1378","-6.27984648685206","0.00498555724143865"
"10","Vichada","0.159583810359775","0.246882816560635","0.189133154764043","1428","-6.61539483403183","0.00252372610337459"
"10","Risaralda","0.119806930830965","0.196463454754184","0.145992697487775","1848","-6.72085320277359","0.00285711252703215"
"10","Caldas","0.0557028687455007","0.0954113685926881","0.0667844552101687","1837","-6.33632658423973","0.00347491001383713"
"10","Tolima","0.153247808886796","0.247652027748439","0.189624889705534","2007","-7.01579471196061","0.00189984692264145"
"10","Cundinamarca","0.0787978203989774","0.147572975636379","0.103169012206801","3924","-7.5698445885095","0.000938046689479922"
"10","Valle del Cauca","0.0691850077094504","0.118497159882817","0.0840363804552489","3801","-7.01304460044076","0.00240934690914148"
"10","Quindío","0.05922566537922","0.108135025924008","0.0746325628363401","1316","-6.05869109610608","0.00724576234136685"
"10","Meta","0.0963918970631888","0.164536486247343","0.118815358971147","3344","-7.25048952237757","0.00173649332192457"
"10","Cauca","0.136453507060283","0.215317882922497","0.163235428840828","2104","-6.88944052092321","0.00213907994053636"
"10","Huila","0.155026937371687","0.244904814746762","0.188396302434687","1403","-6.6706291058024","0.0021177122467107"
"10","Guainía","0.467578925929445","0.562643019084307","0.491909700225041","583","-6.08659394526855","0.00308876232651571"
"10","Nariño","0.00929129688063922","0.0137382803316035","0.0096465406335737","2818","-4.07966557826556","0.0486753038840027"
"10","Caquetá","0.117659136757837","0.191023421865653","0.141565053780498","3998","-7.56070329467001","0.000888271739916219"
"10","Guaviare","0.229949873955874","0.337704994136039","0.269676631851558","2066","-7.25599131939674","0.000998688837573846"
"10","Putumayo","0.324743424795192","0.428379810737499","0.359445171979432","1856","-7.15118489079424","0.00118664005069805"
"10","Vaupés","0.275148556548056","0.378747747001634","0.309686631666746","1776","-7.05242916806679","0.0013883743336883"
"10","Amazonas","0.11097400831711","0.180526863078383","0.13334118676697","3914","-7.42161522572779","0.00156820378745884"
"20","San Andrés y Providencia","0.0480818976261081","0.0981209416611605","0.0677983547999054","53","-3.21769330689878","0.0615530802037774"
"20","La Guajira","0.0235716123871341","0.0473149314505815","0.0313633084423591","761","-5.41177116668269","0.00707719384241915"
"20","Magdalena","0.0572242616094929","0.0978931530776937","0.0722123376005295","1519","-5.61611870403119","0.0122584810629697"
"20","Atlántico","0.062879781608358","0.12609721313189","0.088501524891193","382","-5.34263472411453","0.00654022021078144"
"20","Bolívar","0.186758182432979","0.264755928920664","0.216561652797278","694","-5.43557877789829","0.0220619170796114"
"20","Cesar","0.175978798577636","0.270044295933634","0.217623145766132","542","-5.67331379258475","0.00883127696529042"
"20","Córdoba","0.0332606813817665","0.0610838130272655","0.042413538159465","821","-5.56156319452327","0.00569944644131796"
"20","Sucre","0.108807585931589","0.165752563384064","0.132025013828052","430","-4.47881650131887","0.0526440714564526"
"20","Chocó","0.166505791268332","0.269087015314408","0.21696309945956","2374","-7.32538588658368","0.00101866365485548"
"20","Antioquia","0.0453927329586679","0.0881409067832531","0.0617714784516604","8105","-7.69929024620069","0.00135068115184497"
"20","Norte de Santander","0.173959460101107","0.270472135509018","0.219279231382243","1038","-6.33871726172084","0.0038871594039412"
"20","Santander","0.144390822415408","0.234484738601268","0.187404993603489","3085","-7.30443694263481","0.00191754821561459"
"20","Boyacá","0.0912656062102012","0.164531260829659","0.122459387491391","2587","-7.12405483368593","0.00161821290847406"
"20","Arauca","0.0947603956340222","0.157087162343189","0.117447051067637","628","-5.66752675598885","0.00499555570733786"
"20","Casanare","0.136779480553418","0.206645843709046","0.162338068520208","1378","-6.27984648685206","0.00498555724143865"
"20","Vichada","0.154162016862183","0.241051477244455","0.190090339954855","1428","-6.61539483403183","0.00252372610337459"
"20","Risaralda","0.114151025872845","0.191908391344628","0.147693432617075","1848","-6.72085320277359","0.00285711252703215"
"20","Caldas","0.0519062527890343","0.0932036990347156","0.0666350665335917","1837","-6.33632658423973","0.00347491001383713"
"20","Tolima","0.144762307855962","0.239016847629798","0.189117871791194","2007","-7.01579471196061","0.00189984692264145"
"20","Cundinamarca","0.0714782405556275","0.140571728660519","0.102501101026203","3924","-7.5698445885095","0.000938046689479922"
"20","Valle del Cauca","0.063864860568393","0.114231013299119","0.0836682559720539","3801","-7.01304460044076","0.00240934690914148"
"20","Quindío","0.0533727539119651","0.103778951981437","0.0740224900075129","1316","-6.05869109610608","0.00724576234136685"
"20","Meta","0.0904059644184417","0.159114599736206","0.118823188190394","3344","-7.25048952237757","0.00173649332192457"
"20","Cauca","0.129221866217605","0.209106584544803","0.162967832330554","2104","-6.88944052092321","0.00213907994053636"
"20","Huila","0.149228989745851","0.239311087765339","0.189342743913199","1403","-6.6706291058024","0.0021177122467107"
"20","Guainía","0.465124494599224","0.560633329368294","0.489686251358239","583","-6.08659394526855","0.00308876232651571"
"20","Nariño","0.00911137151082308","0.0137595849768042","0.00970698374849178","2818","-4.07966557826556","0.0486753038840027"
"20","Caquetá","0.112985803455114","0.186438096259966","0.142113514813604","3998","-7.56070329467001","0.000888271739916219"
"20","Guaviare","0.223288256437023","0.332301511725128","0.269073356093567","2066","-7.25599131939674","0.000998688837573846"
"20","Putumayo","0.320943432861026","0.424863756562073","0.358925747462063","1856","-7.15118489079424","0.00118664005069805"
"20","Vaupés","0.270816483277989","0.373747639187065","0.308734412350044","1776","-7.05242916806679","0.0013883743336883"
"20","Amazonas","0.105641382189779","0.176028259564484","0.133474550556063","3914","-7.42161522572779","0.00156820378745884"
"50","San Andrés y Providencia","0.0454473181395224","0.0986377456788611","0.0726585282541932","53","-3.21769330689878","0.0615530802037774"
"50","La Guajira","0.0209280197586893","0.0450010916548322","0.0310574565593575","761","-5.41177116668269","0.00707719384241915"
"50","Magdalena","0.0526466160961833","0.0932459305122343","0.0723309979095983","1519","-5.61611870403119","0.0122584810629697"
"50","Atlántico","0.0581141594837899","0.119791265272455","0.0865504986368368","382","-5.34263472411453","0.00654022021078144"
"50","Bolívar","0.184838046080964","0.261972532079711","0.217046666359409","694","-5.43557877789829","0.0220619170796114"
"50","Cesar","0.169960098163354","0.263101103196583","0.215813822484595","542","-5.67331379258475","0.00883127696529042"
"50","Córdoba","0.0306476850803386","0.0591882139538022","0.0422420781494737","821","-5.56156319452327","0.00569944644131796"
"50","Sucre","0.104300712127826","0.16082429517909","0.131567342481806","430","-4.47881650131887","0.0526440714564526"
"50","Chocó","0.159463917495946","0.260072985051289","0.21644064367642","2374","-7.32538588658368","0.00101866365485548"
"50","Antioquia","0.0404717537712027","0.0831185153271564","0.0616760129163266","8105","-7.69929024620069","0.00135068115184497"
"50","Norte de Santander","0.168072546072656","0.263078683547385","0.219072541203346","1038","-6.33871726172084","0.0038871594039412"
"50","Santander","0.137235178600726","0.225574714959578","0.188297645661868","3085","-7.30443694263481","0.00191754821561459"
"50","Boyacá","0.0854446331679728","0.157524455148781","0.122455036508951","2587","-7.12405483368593","0.00161821290847406"
"50","Arauca","0.0919024890531763","0.153373045915842","0.117210069270433","628","-5.66752675598885","0.00499555570733786"
"50","Casanare","0.133730180844612","0.203086820837324","0.162156224477599","1378","-6.27984648685206","0.00498555724143865"
"50","Vichada","0.149888339159981","0.236085694735939","0.189580605156856","1428","-6.61539483403183","0.00252372610337459"
"50","Risaralda","0.10787669946908","0.184411374794557","0.147216774593705","1848","-6.72085320277359","0.00285711252703215"
"50","Caldas","0.0484480327019257","0.0899337151641376","0.0669006736271704","1837","-6.33632658423973","0.00347491001383713"
"50","Tolima","0.138602763542119","0.231905371611425","0.190112470898757","2007","-7.01579471196061","0.00189984692264145"
"50","Cundinamarca","0.0643773670495816","0.132112194988523","0.102929122415868","3924","-7.5698445885095","0.000938046689479922"
"50","Valle del Cauca","0.0589419407593211","0.108869987960973","0.0840740563490771","3801","-7.01304460044076","0.00240934690914148"
"50","Quindío","0.0485099430845385","0.0978845755652515","0.0745249871935124","1316","-6.05869109610608","0.00724576234136685"
"50","Meta","0.0855694329803764","0.153644716401435","0.119242047172964","3344","-7.25048952237757","0.00173649332192457"
"50","Cauca","0.124670354819654","0.202789331871588","0.162776208656614","2104","-6.88944052092321","0.00213907994053636"
"50","Huila","0.142505580850413","0.231186670187205","0.187592233247734","1403","-6.6706291058024","0.0021177122467107"
"50","Guainía","0.466294273707936","0.561450122994902","0.491382859130672","583","-6.08659394526855","0.00308876232651571"
"50","Nariño","0.00860368152843865","0.0135113053262071","0.00969064980974334","2818","-4.07966557826556","0.0486753038840027"
"50","Caquetá","0.108549160498143","0.181086936390664","0.141866477229508","3998","-7.56070329467001","0.000888271739916219"
"50","Guaviare","0.220710509327989","0.328814403041309","0.269272355252528","2066","-7.25599131939674","0.000998688837573846"
"50","Putumayo","0.319637516839403","0.424512602147695","0.358679866104973","1856","-7.15118489079424","0.00118664005069805"
"50","Vaupés","0.269560575505029","0.373011295469525","0.309025129635932","1776","-7.05242916806679","0.0013883743336883"
"50","Amazonas","0.101671638006331","0.171000087174311","0.133713712328116","3914","-7.42161522572779","0.00156820378745884"
"100","San Andrés y Providencia","0.0434158440334718","0.0952249735676626","0.071544180149095","53","-3.21769330689878","0.0615530802037774"
"100","La Guajira","0.0194718603365298","0.0436324944099983","0.0310962212361199","761","-5.41177116668269","0.00707719384241915"
"100","Magdalena","0.0502309552417641","0.0900821301375343","0.0723883453738494","1519","-5.61611870403119","0.0122584810629697"
"100","Atlántico","0.0564220579934578","0.117521814101042","0.0864629088452228","382","-5.34263472411453","0.00654022021078144"
"100","Bolívar","0.184391276572621","0.261779104523217","0.216917244814819","694","-5.43557877789829","0.0220619170796114"
"100","Cesar","0.169910410453782","0.263140498387239","0.217683432355765","542","-5.67331379258475","0.00883127696529042"
"100","Córdoba","0.0296763864005975","0.0577411588008945","0.0424191217782931","821","-5.56156319452327","0.00569944644131796"
"100","Sucre","0.102831669849724","0.158362328867994","0.130835786546017","430","-4.47881650131887","0.0526440714564526"
"100","Chocó","0.157581839704465","0.257460499320833","0.216536616025678","2374","-7.32538588658368","0.00101866365485548"
"100","Antioquia","0.0379184967126721","0.0794448882156525","0.0617404895079945","8105","-7.69929024620069","0.00135068115184497"
"100","Norte de Santander","0.166890042661486","0.261148228243623","0.218370144335583","1038","-6.33871726172084","0.0038871594039412"
"100","Santander","0.134543445222939","0.221646537081799","0.188160997905494","3085","-7.30443694263481","0.00191754821561459"
"100","Boyacá","0.0834082200170776","0.154328817112478","0.122591650872388","2587","-7.12405483368593","0.00161821290847406"
"100","Arauca","0.0918537004446629","0.152365077527894","0.117217905651424","628","-5.66752675598885","0.00499555570733786"
"100","Casanare","0.133343739721591","0.202527426809505","0.161939682534691","1378","-6.27984648685206","0.00498555724143865"
"100","Vichada","0.149221020798279","0.235361071672683","0.189160448461052","1428","-6.61539483403183","0.00252372610337459"
"100","Risaralda","0.106463202312802","0.181748297912763","0.147287966953358","1848","-6.72085320277359","0.00285711252703215"
"100","Caldas","0.046985721635702","0.087503591242875","0.0668757475167499","1837","-6.33632658423973","0.00347491001383713"
"100","Tolima","0.137001912284519","0.229487019628237","0.190549509863998","2007","-7.01579471196061","0.00189984692264145"
"100","Cundinamarca","0.0606598571630164","0.126270697971196","0.102473274255231","3924","-7.5698445885095","0.000938046689479922"
"100","Valle del Cauca","0.0563043571045197","0.105248662536164","0.0840922932388505","3801","-7.01304460044076","0.00240934690914148"
"100","Quindío","0.0455637579007497","0.0934801989564988","0.0743754763206077","1316","-6.05869109610608","0.00724576234136685"
"100","Meta","0.0839508927783241","0.151106855843008","0.11953638708279","3344","-7.25048952237757","0.00173649332192457"
"100","Cauca","0.123671547035473","0.201308536677646","0.162687394505097","2104","-6.88944052092321","0.00213907994053636"
"100","Huila","0.141555134026737","0.23008546070132","0.188019095312656","1403","-6.6706291058024","0.0021177122467107"
"100","Guainía","0.465348893152573","0.560075136203321","0.48956738321805","583","-6.08659394526855","0.00308876232651571"
"100","Nariño","0.00814204116104804","0.0132587686646559","0.00970877074066195","2818","-4.07966557826556","0.0486753038840027"
"100","Caquetá","0.107506595583394","0.179704432161681","0.141748737669389","3998","-7.56070329467001","0.000888271739916219"
"100","Guaviare","0.220316698935884","0.328370422376433","0.268639063240044","2066","-7.25599131939674","0.000998688837573846"
"100","Putumayo","0.319844485441785","0.424739763940284","0.359152759063351","1856","-7.15118489079424","0.00118664005069805"
"100","Vaupés","0.269950727707997","0.372922325584723","0.309435954241865","1776","-7.05242916806679","0.0013883743336883"
"100","Amazonas","0.100527913850896","0.1693165293297","0.133506204116193","3914","-7.42161522572779","0.00156820378745884"
"200","San Andrés y Providencia","0.0421689690825084","0.0932446469670736","0.0716063198214496","53","-3.21769330689878","0.0615530802037774"
"200","La Guajira","0.0183685568706079","0.0420254532707202","0.0310817520458404","761","-5.41177116668269","0.00707719384241915"
"200","Magdalena","0.0488012800961416","0.0879617915533795","0.0719069927543949","1519","-5.61611870403119","0.0122584810629697"
"200","Atlántico","0.0563007761218496","0.1168971109109","0.0869886594725215","382","-5.34263472411453","0.00654022021078144"
"200","Bolívar","0.184098198963367","0.261901401104353","0.216743144456343","694","-5.43557877789829","0.0220619170796114"
"200","Cesar","0.169608838586474","0.262663405038567","0.216490572572371","542","-5.67331379258475","0.00883127696529042"
"200","Córdoba","0.0289037973797629","0.0566644548011536","0.0423250003947369","821","-5.56156319452327","0.00569944644131796"
"200","Sucre","0.102207506152245","0.157754731339","0.130323853167207","430","-4.47881650131887","0.0526440714564526"
"200","Chocó","0.157247988917729","0.25733103797916","0.217161355298451","2374","-7.32538588658368","0.00101866365485548"
"200","Antioquia","0.0360864011576245","0.0764400945016574","0.0617371061552443","8105","-7.69929024620069","0.00135068115184497"
"200","Norte de Santander","0.16716828779897","0.26115189672331","0.218817416767142","1038","-6.33871726172084","0.0038871594039412"
"200","Santander","0.133867070579972","0.22069818881845","0.188156825470552","3085","-7.30443694263481","0.00191754821561459"
"200","Boyacá","0.0828589428304654","0.153398407325351","0.122554898896657","2587","-7.12405483368593","0.00161821290847406"
"200","Arauca","0.0916389962282093","0.15226745159825","0.117137544864748","628","-5.66752675598885","0.00499555570733786"
"200","Casanare","0.133327663800244","0.202527482034509","0.161979486148823","1378","-6.27984648685206","0.00498555724143865"
"200","Vichada","0.14920091025395","0.235405891480682","0.189305410394669","1428","-6.61539483403183","0.00252372610337459"
"200","Risaralda","0.106066593120888","0.181328890133888","0.147313082309557","1848","-6.72085320277359","0.00285711252703215"
"200","Caldas","0.0461392688573267","0.0863826409436019","0.0668499080072138","1837","-6.33632658423973","0.00347491001383713"
"200","Tolima","0.136533764651456","0.228945984930549","0.189721619518652","2007","-7.01579471196061","0.00189984692264145"
"200","Cundinamarca","0.0586530245759393","0.123046229805543","0.102727113806569","3924","-7.5698445885095","0.000938046689479922"
"200","Valle del Cauca","0.0549121803858781","0.10304002966574","0.0840864862407513","3801","-7.01304460044076","0.00240934690914148"
"200","Quindío","0.0435520556884903","0.0903961278669443","0.0744989456031603","1316","-6.05869109610608","0.00724576234136685"
"200","Meta","0.0832477796990831","0.150266478581582","0.119147633138697","3344","-7.25048952237757","0.00173649332192457"
"200","Cauca","0.123618977419517","0.201136092242956","0.162762268392081","2104","-6.88944052092321","0.00213907994053636"
"200","Huila","0.141343519935626","0.229934660810989","0.188219478262304","1403","-6.6706291058024","0.0021177122467107"
"200","Guainía","0.465935989111972","0.560946616084208","0.49065305472646","583","-6.08659394526855","0.00308876232651571"
"200","Nariño","0.00761052545179863","0.0128409747606447","0.0096831105133654","2818","-4.07966557826556","0.0486753038840027"
"200","Caquetá","0.107470922244957","0.179544471909213","0.141860502697109","3998","-7.56070329467001","0.000888271739916219"
"200","Guaviare","0.220123791845595","0.328282238429597","0.268301346739526","2066","-7.25599131939674","0.000998688837573846"
"200","Putumayo","0.319345316541191","0.424050422034453","0.357887646026736","1856","-7.15118489079424","0.00118664005069805"
"200","Vaupés","0.269791079579574","0.372697040012374","0.309034965525941","1776","-7.05242916806679","0.0013883743336883"
"200","Amazonas","0.10036798088998","0.169105921870054","0.133506129468521","3914","-7.42161522572779","0.00156820378745884"
